model,type_experiment,n_trainable_params,cl_technique,hyperparams,experiment_name,time,dataset_currently_testing,dataset_currently_training,dataset_wrt_training_datasets,target_epochs,best_epochs,learning_rate,batch_size,current_num_samples_training,cumulative_samples_trained,f1_score,precision_score,recall_score,accuracy,HATE_f1_score,HATE_precision_score,HATE_recall_score,NoHATE_f1_score,NoHATE_precision_score,NoHATE_recall_score
diptanu/fBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,evalita,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.30434782608695654,0.21875,0.5,0.4375,0.6086956521739131,0.4375,1.0,0.0,0.0,0.0
diptanu/fBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,ibereval,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
diptanu/fBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,hateval-immigrant,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.43529411764705883,0.5363636363636364,0.5416666666666666,0.4375,0.47058823529411764,0.8,0.3333333333333333,0.4,0.2727272727272727,0.75
diptanu/fBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,davidson,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.6190476190476191,0.6507936507936507,0.6727272727272727,0.625,0.5714285714285714,0.4444444444444444,0.8,0.6666666666666666,0.8571428571428571,0.5454545454545454
diptanu/fBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,founta_hateful_57k,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.8160919540229885,0.9666666666666667,0.75,0.9375,0.6666666666666666,1.0,0.5,0.9655172413793104,0.9333333333333333,1.0
diptanu/fBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,hateval-women,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.058823529411764705,0.5,0.03125,0.0625,0.0,0.0,0.0,0.11764705882352941,1.0,0.0625
diptanu/fBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,waseem-racism,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.5428571428571429,0.5512820512820513,0.5416666666666667,0.6875,0.2857142857142857,0.3333333333333333,0.25,0.8,0.7692307692307693,0.8333333333333334
diptanu/fBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,waseem-sexism,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.8814814814814815,0.9642857142857143,0.8333333333333333,0.9375,0.8,1.0,0.6666666666666666,0.9629629629629629,0.9285714285714286,1.0
GroNLP/hateBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,evalita,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.45893719806763283,0.5357142857142857,0.5158730158730158,0.5625,0.2222222222222222,0.5,0.14285714285714285,0.6956521739130435,0.5714285714285714,0.8888888888888888
GroNLP/hateBERT,test,109483778,ZERO_SHOT_TESTING,NA,,NA,ibereval,NA,zero_shot,NA,NA,NA,NA,NA,NA,0.41700404858299595,0.42727272727272725,0.4375,0.4375,0.3076923076923077,0.4,0.25,0.5263157894736842,0.45454545454545453,0.625
