model,cl_technique,experiment_name,time,best_epochs,current_num_samples_training,learning_rate,hyperparams,last,avg_incremental_f1,transfer,bwt,fw_transfer,metric
diptanu/fBERT,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.6602537988616665,0.7633363591177239,0.7725968119221891,-0.030055846295161958,-0.03144794795267712,f1_score
diptanu/fBERT,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.5236859289565989,0.6694102459980966,0.6623308614587036,-0.11965635271196184,-0.10792247842227107,HATE_f1_score
diptanu/fBERT,vanilla_ft,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,,0.6700499130679044,0.7071942219680196,0.6598303593394171,-0.06121123312441842,-0.1881160419050325,f1_score
diptanu/fBERT,vanilla_ft,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,,0.694045022962045,0.6518802124599923,0.5577117682337426,-0.016049348787500122,-0.487982504637986,HATE_f1_score
diptanu/fBERT,vanilla_ft,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,,0.7128990994491363,0.6179877730061275,0.6052777630714519,0.029806317578557784,-0.16404158795602017,f1_score
diptanu/fBERT,vanilla_ft,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,,0.6817878454422646,0.6311065347948163,0.5771706397435437,-0.007730428086529739,-0.3215603210637263,HATE_f1_score
FacebookAI/roberta-base,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.6145805245266115,0.7621192735952068,0.75792378134888,-0.09786607217283001,0.32852279980636706,f1_score
FacebookAI/roberta-base,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.3825133319086543,0.6413287572577631,0.6106424530133041,-0.2701089712775672,-0.04711095471455721,HATE_f1_score
FacebookAI/roberta-base,vanilla_ft,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,,0.7262294265297103,0.7639373507007491,0.6846961379329631,-0.05721881659016707,0.1678304766161404,f1_score
FacebookAI/roberta-base,vanilla_ft,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,,0.6012424218505139,0.6709455405049483,0.5509779818966688,-0.0840464654479424,-0.4757029257762233,HATE_f1_score
FacebookAI/roberta-base,vanilla_ft,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,,0.6957722476592919,0.6339997644330744,0.6220909899242129,-0.05730549107465521,0.26864518572729457,f1_score
FacebookAI/roberta-base,vanilla_ft,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,,0.6672832352199919,0.6595886517320664,0.6057584863907873,-0.11567019629214464,-0.29848368986853757,HATE_f1_score
diptanu/fBERT,agem,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mem_size_proportion=0.025,0.7072405193620682,0.7823736825177602,0.794386087675211,-0.013785023502612848,0.042142144624094366,f1_score
diptanu/fBERT,agem,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mem_size_proportion=0.025,0.6293183619949897,0.7065690714374412,0.7079313389314351,-0.05434263803200658,-0.00486101627793265,HATE_f1_score
diptanu/fBERT,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.025,0.724516473192983,0.750150205432421,0.7583581331352393,0.0009353985245698082,-0.07025484512262198,f1_score
diptanu/fBERT,agem,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,mem_size_proportion=0.025,0.7248118927564962,0.7130649871150839,0.7051822543850781,0.014431109019114338,-0.27931090571985245,HATE_f1_score
