model,type_experiment,n_trainable_params,cl_technique,hyperparams,experiment_name,time,dataset_currently_testing,dataset_currently_training,dataset_wrt_training_datasets,target_epochs,best_epochs,learning_rate,batch_size,current_num_samples_training,cumulative_samples_trained,best_epoch,f1_score,precision_score,recall_score,accuracy,HATE_f1_score,HATE_precision_score,HATE_recall_score,NoHATE_f1_score,NoHATE_precision_score,NoHATE_recall_score
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,davidson,davidson,IN_TRAINING,8,8,1e-05,32,4293,4293,8.0,0.9200954084675015,0.9268808114961962,0.9138439685314685,0.9400715563506261,0.8801431127012522,0.9010989010989011,0.8601398601398601,0.9600477042337507,0.9526627218934911,0.9675480769230769
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,founta_hateful_57k,davidson,ZERO_SHOT,8,8,1e-05,32,4293,4293,8.0,0.7716332221097668,0.7848895429860577,0.7598113808438678,0.9417661930084561,0.5745222929936306,0.6045576407506702,0.5473300970873787,0.9687441512259031,0.9652214452214453,0.9722926646003569
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,ibereval,davidson,ZERO_SHOT,8,8,1e-05,32,4293,4293,8.0,0.6161323647840693,0.6196827775696265,0.6146575309685808,0.6418732782369146,0.516728624535316,0.5450980392156862,0.4911660777385159,0.7155361050328227,0.6942675159235668,0.7381489841986456
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,hateval-immigrant,davidson,ZERO_SHOT,8,8,1e-05,32,4293,4293,8.0,0.4539627462782585,0.5981940783342652,0.5269566726970378,0.5950633755837225,0.17639077340569878,0.6018518518518519,0.10333863275039745,0.7315347191508182,0.5945363048166786,0.9505747126436782
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,hateval-women,davidson,ZERO_SHOT,8,8,1e-05,32,4293,4293,8.0,0.327573569011945,0.6762687519948931,0.5125291391817774,0.438179347826087,0.6002899951667472,0.42946058091286304,0.9967897271268058,0.054857142857142854,0.9230769230769231,0.028268551236749116
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,waseem-racism,davidson,ZERO_SHOT,8,8,1e-05,32,4293,4293,8.0,0.5742253881788766,0.5902597402597403,0.5667345214318635,0.8131826741996233,0.2552552552552553,0.3090909090909091,0.21739130434782608,0.8931955211024979,0.8714285714285714,0.916077738515901
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,evalita,davidson,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4293,4293,8.0,0.6082066184022645,0.6192462156317577,0.6165458937198067,0.609,0.6258373205741626,0.558974358974359,0.7108695652173913,0.5905759162303665,0.6795180722891566,0.5222222222222223
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,waseem-sexism,davidson,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4293,4293,8.0,0.5207513075602582,0.5564516129032259,0.527793195544296,0.7457860337117304,0.1923497267759563,0.3235294117647059,0.1368584758942457,0.8491528883445602,0.7893738140417458,0.9187279151943463
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,1,davidson,founta_hateful_57k,TRAINING_PASSED,8,8,1e-05,32,44048,48341,8.0,0.9230266102103343,0.9339987292174097,0.9133522727272727,0.9427549194991055,0.8840579710144928,0.9172932330827067,0.8531468531468531,0.9619952494061758,0.9507042253521126,0.9735576923076923
diptanu/fBERT,GO,109483778,vanilla_ft,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,1,founta_hateful_57k,founta_hateful_57k,IN_TRAINING,8,8,1e-05,32,44048,48341,8.0,0.7728214827778768,0.8021765468896617,0.7496045880101145,0.9446430128149246,0.5752508361204013,0.6408345752608048,0.5218446601941747,0.9703921294353522,0.9635185185185186,0.9773645158260543
