model,type_experiment,n_trainable_params,cl_technique,hyperparams,experiment_name,time,dataset_currently_testing,dataset_currently_training,dataset_wrt_training_datasets,target_epochs,best_epochs,learning_rate,batch_size,current_num_samples_training,cumulative_samples_trained,f1_score,precision_score,recall_score,accuracy,HATE_f1_score,HATE_precision_score,HATE_recall_score,NoHATE_f1_score,NoHATE_precision_score,NoHATE_recall_score
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,davidson,0,davidson,davidson,IN_TRAINING,8,8,1e-05,32,4293,4293,0.9230266102103343,0.9339987292174097,0.9133522727272727,0.9427549194991055,0.8840579710144928,0.9172932330827067,0.8531468531468531,0.9619952494061758,0.9507042253521126,0.9735576923076923
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,davidson,0,evalita,davidson,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4293,4293,0.6287293436915511,0.6301279665053576,0.6308776167471819,0.629,0.6187050359712231,0.5867446393762183,0.6543478260869565,0.6387536514118792,0.6735112936344969,0.6074074074074074
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,davidson,0,ibereval,davidson,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4293,4293,0.6573957553907898,0.6804363091615562,0.6537182238033326,0.6942148760330579,0.5450819672131147,0.6487804878048781,0.46996466431095407,0.7697095435684648,0.7120921305182342,0.837471783295711
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,davidson,0,hateval-immigrant,davidson,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4293,4293,0.45998345378918487,0.6272860611674878,0.5331441989657,0.6017344896597732,0.18331053351573187,0.6568627450980392,0.10651828298887123,0.7366563740626378,0.5977093772369363,0.9597701149425287
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,davidson,0,founta_hateful_57k,davidson,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4293,4293,0.7457814965762353,0.8130384032155246,0.7054209171460851,0.9436840728794351,0.5214814814814814,0.6692015209125475,0.42718446601941745,0.9700815116709892,0.9568752855185017,0.9836573682727529
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,davidson,0,hateval-women,davidson,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4293,4293,0.5154259858184871,0.6744808138309087,0.600134801210753,0.546875,0.6388738494856524,0.4820261437908497,0.9470304975922953,0.3919781221513218,0.8669354838709677,0.25323910482921086
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,davidson,0,waseem-racism,davidson,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4293,4293,0.5259687945483326,0.573982992829604,0.5278336330691441,0.831638418079096,0.14531548757170173,0.2878787878787879,0.09718670076726342,0.9066221015249635,0.8600871977804201,0.9584805653710248
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,davidson,0,waseem-sexism,davidson,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4293,4293,0.5338173905320188,0.6367837318064601,0.5429946172150201,0.7764017887856897,0.19753086419753085,0.47904191616766467,0.12441679626749612,0.8701039168665068,0.7945255474452555,0.9615724381625441
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,evalita,0,evalita,evalita,IN_TRAINING,8,8,1e-05,32,4799,4799,0.826353862723193,0.82589487856579,0.827415458937198,0.827,0.8157614483493077,0.7995824634655533,0.8326086956521739,0.8369462770970783,0.8522072936660269,0.8222222222222222
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,evalita,0,ibereval,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.9106681432262828,0.9162553121935273,0.9062647065861577,0.9159779614325069,0.8888888888888888,0.9172932330827067,0.8621908127208481,0.9324473975636767,0.9152173913043479,0.9503386004514672
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,evalita,0,hateval-immigrant,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.38561494813505826,0.46697997860308726,0.49605193428722844,0.571714476317545,0.04747774480712166,0.35555555555555557,0.025437201907790145,0.7237521514629949,0.578404401650619,0.9666666666666667
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,evalita,0,davidson,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.6645720476706393,0.8201429980276134,0.6418815559440559,0.8067978533094812,0.4461538461538462,0.8365384615384616,0.3041958041958042,0.8829902491874323,0.8037475345167653,0.9795673076923077
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,evalita,0,founta_hateful_57k,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.5839365912974278,0.7389156101309218,0.55897417659927,0.929561502920408,0.2047244094488189,0.5416666666666666,0.1262135922330097,0.9631487731460366,0.9361645535951769,0.9917347609655301
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,evalita,0,hateval-women,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.507708209617186,0.6812399355877616,0.5978830727113571,0.5427989130434783,0.6391420911528151,0.47987117552334946,0.956661316211878,0.376274328081557,0.8826086956521739,0.23910482921083628
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,evalita,0,waseem-racism,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.4741532976827094,0.4923457786670911,0.49847891607096056,0.8338983050847457,0.0392156862745098,0.1323529411764706,0.023017902813299233,0.9090909090909091,0.8523386161577117,0.973939929328622
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,evalita,0,waseem-sexism,evalita,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4799,4799,0.6240793286080011,0.7631074690150033,0.6063944957657623,0.8101135190918473,0.35962877030162416,0.7077625570776256,0.2410575427682737,0.8885298869143781,0.8184523809523809,0.9717314487632509
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,founta_hateful_57k,0,founta_hateful_57k,founta_hateful_57k,IN_TRAINING,8,8,1e-05,32,44048,44048,0.7860512852926708,0.8331655558745584,0.7523753215500788,0.9497864179234592,0.5988857938718662,0.7026143790849673,0.5218446601941747,0.9732167767134753,0.9637167326641496,0.9829059829059829
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,founta_hateful_57k,0,evalita,founta_hateful_57k,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,44048,44048,0.6048477359981707,0.6049622904357016,0.6055555555555556,0.606,0.5835095137420718,0.5679012345679012,0.6,0.6261859582542695,0.642023346303502,0.6111111111111112
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,founta_hateful_57k,0,ibereval,founta_hateful_57k,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,44048,44048,0.6902173913043479,0.7592491016757525,0.6847306750472605,0.7382920110192838,0.5681818181818182,0.7961783439490446,0.4416961130742049,0.8122529644268774,0.7223198594024605,0.927765237020316
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,founta_hateful_57k,0,hateval-immigrant,founta_hateful_57k,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,44048,44048,0.508561903841641,0.6498357808005923,0.5576896368985619,0.61974649766511,0.2748091603053435,0.6878980891719745,0.17170111287758347,0.7423146473779385,0.6117734724292101,0.9436781609195403
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,founta_hateful_57k,0,davidson,founta_hateful_57k,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,44048,44048,0.8805319918458605,0.8728307414919991,0.8893138111888113,0.9069767441860465,0.8243243243243243,0.7973856209150327,0.8531468531468531,0.9367396593673966,0.9482758620689655,0.9254807692307693
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,founta_hateful_57k,0,hateval-women,founta_hateful_57k,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,44048,44048,0.5775194676696954,0.6530116734407752,0.6246268388643423,0.5869565217391305,0.640661938534279,0.5070159027128157,0.869983948635634,0.5143769968051118,0.7990074441687345,0.3792697290930506
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,founta_hateful_57k,0,waseem-racism,founta_hateful_57k,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,44048,44048,0.6661637118068653,0.6791948249303715,0.6561203717929022,0.8429378531073446,0.42323651452282157,0.4608433734939759,0.391304347826087,0.9090909090909091,0.8975462763667671,0.9209363957597173
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,founta_hateful_57k,0,waseem-sexism,founta_hateful_57k,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,44048,44048,0.5513797978821743,0.6035440132401496,0.5513143722282368,0.7616099071207431,0.24427480916030533,0.40875912408759124,0.17418351477449456,0.8584847866040433,0.7983289023927079,0.9284452296819788
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-immigrant,0,hateval-immigrant,hateval-immigrant,IN_TRAINING,8,8,1e-05,32,4500,4500,0.38581813375627805,0.6283702644746247,0.5328180107084772,0.46230820547031354,0.6025641025641025,0.4367405289492495,0.9713831478537361,0.16907216494845362,0.82,0.09425287356321839
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-immigrant,0,evalita,hateval-immigrant,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.512461342550482,0.5205774975107866,0.518719806763285,0.531,0.41739130434782606,0.48695652173913045,0.3652173913043478,0.6075313807531381,0.5541984732824428,0.6722222222222223
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-immigrant,0,ibereval,hateval-immigrant,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.7434935026796858,0.8522276777595927,0.7317438920307253,0.7878787878787878,0.6367924528301887,0.9574468085106383,0.47703180212014135,0.8501945525291829,0.747008547008547,0.9864559819413092
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-immigrant,0,davidson,hateval-immigrant,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.6553295328069726,0.7436429256020127,0.6367460664335665,0.7889087656529516,0.44075829383886256,0.6838235294117647,0.32517482517482516,0.8699007717750827,0.8034623217922607,0.9483173076923077
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-immigrant,0,founta_hateful_57k,hateval-immigrant,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.6108252892331053,0.6416953076869654,0.5934874653601315,0.9136082294481737,0.2675535846267554,0.34215500945179583,0.2196601941747573,0.9540969938394552,0.9412356059221348,0.9673147365455058
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-immigrant,0,hateval-women,hateval-immigrant,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.5706579372031906,0.5879315886897438,0.5749923902542317,0.6046195652173914,0.4499054820415879,0.5471264367816092,0.38202247191011235,0.6914103923647932,0.6287367405978785,0.767962308598351
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-immigrant,0,waseem-racism,hateval-immigrant,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.7126984058278398,0.7045246672473252,0.7222923237508246,0.8493408662900188,0.5145631067961165,0.4896073903002309,0.5421994884910486,0.910833704859563,0.9194419441944195,0.9023851590106007
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-immigrant,0,waseem-sexism,hateval-immigrant,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.5138905212434624,0.5373924676935955,0.5206202704856322,0.7337461300309598,0.1869747899159664,0.28802588996763756,0.13841368584758942,0.8408062525709584,0.7867590454195535,0.9028268551236749
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-women,0,hateval-women,hateval-women,IN_TRAINING,8,8,1e-05,32,4500,4500,0.6007020033746502,0.6580472749171936,0.6111419912388666,0.6514945652173914,0.4582893347412883,0.6697530864197531,0.34831460674157305,0.7431146720080121,0.6463414634146342,0.8739693757361602
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-women,0,evalita,hateval-women,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.5223694435232802,0.7242456002445522,0.5826892109500805,0.614,0.31316725978647686,0.8627450980392157,0.19130434782608696,0.7315716272600834,0.5857461024498887,0.9740740740740741
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-women,0,ibereval,hateval-women,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.45080689528699797,0.7896656534954407,0.5342070208743789,0.6363636363636364,0.13157894736842105,0.9523809523809523,0.0706713780918728,0.7700348432055749,0.6269503546099291,0.9977426636568849
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-women,0,hateval-immigrant,hateval-women,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.36724356268467706,0.2901934623082055,0.5,0.580386924616411,0.0,0.0,0.0,0.7344871253693541,0.580386924616411,1.0
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-women,0,davidson,hateval-women,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.49971546918877485,0.8792160437556973,0.5367132867132867,0.7629695885509838,0.13680781758957655,1.0,0.07342657342657342,0.8626231207879731,0.7584320875113947,1.0
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-women,0,founta_hateful_57k,hateval-women,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.48994861883002405,0.9643667131891138,0.504247572815534,0.9287769157004621,0.01684717208182912,1.0,0.00849514563106796,0.963050065578219,0.9287334263782275,1.0
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-women,0,waseem-racism,hateval-women,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.4629007560730677,0.926525998492841,0.5012787723785166,0.8531073446327684,0.00510204081632653,1.0,0.0025575447570332483,0.9206994713298089,0.853051996985682,1.0
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,hateval-women,0,waseem-sexism,hateval-women,ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,4500,4500,0.4443476598757601,0.8899414398897691,0.5031104199066874,0.7801857585139319,0.012364760432766615,1.0,0.006220839813374806,0.8763305593187536,0.7798828797795384,1.0
FacebookAI/roberta-base,GO,124647170,BASIC_FT,,ibereval,0,ibereval,ibereval,IN_TRAINING,8,5,1e-05,32,3817,3817,0.948076923076923,0.9465053486733231,0.949796201612839,0.9504132231404959,0.9370629370629371,0.9273356401384083,0.9469964664310954,0.9590909090909091,0.965675057208238,0.9525959367945824
