model,cl_technique,experiment_name,time,best_epochs,current_num_samples_training,learning_rate,hyperparams,last,avg_incremental_f1,transfer,bwt,fw_transfer,metric
diptanu/fBERT,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.6898279978751992,0.7721137557385278,0.780306964569938,-0.01251664915915598,-0.01658526309947329,f1_score
diptanu/fBERT,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.5570721092598448,0.6753272095887177,0.6647913112023097,-0.10072669655051239,-0.09738050060188405,HATE_f1_score
diptanu/fBERT,vanilla_ft,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,,0.7129357146350778,0.6235043010496972,0.5959740688301622,0.019186797450232385,-0.1744497523322217,f1_score
diptanu/fBERT,vanilla_ft,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,,0.6767584221839162,0.626632265290677,0.5644530700695742,-0.011814579680425485,-0.3373681668726327,HATE_f1_score
FacebookAI/roberta-base,agem,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mem_size_proportion=0.01,0.7150438562050135,0.8007920817769075,0.8100659655282418,-0.028599529515294875,0.38427548463291017,f1_score
FacebookAI/roberta-base,agem,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,mem_size_proportion=0.01,0.6310119749578085,0.7153268848410669,0.72610255111769,-0.012302825629124969,0.016875406611348065,HATE_f1_score
FacebookAI/roberta-base,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.6101199459964469,0.7531761683794563,0.7427703174376146,-0.11542351667129166,0.3315056798023608,f1_score
FacebookAI/roberta-base,vanilla_ft,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,,0.3803051939908569,0.6249467890425168,0.5842804597434587,-0.28996659572889544,-0.04732347973773911,HATE_f1_score
FacebookAI/roberta-base,vanilla_ft,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,,0.6972121474162852,0.7521958811120238,0.6739059879754391,-0.08984223529257267,0.1922460128985248,f1_score
FacebookAI/roberta-base,vanilla_ft,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,3,8,4799,1e-05,,0.7264144981918719,0.6970981591399273,0.5570556348473326,-0.06838611949420292,-0.43762778318545054,HATE_f1_score
FacebookAI/roberta-base,vanilla_ft,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,,0.7461836225696832,0.6339195327092056,0.6399233316686845,0.03233307641428809,0.2819276701046032,f1_score
FacebookAI/roberta-base,vanilla_ft,hateval-immigrant-TO-waseem-racism-TO-ibereval,2,8,4500,1e-05,,0.7033102449273582,0.6697303451574469,0.6281083826115847,-0.06258442114317703,-0.28083008484292593,HATE_f1_score
diptanu/fBERT,ewc,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,ewc_lambda=2000,0.6481055004356304,0.7603577983037071,0.7752933903416055,-0.016245569838144146,-0.02863938491817807,f1_score
diptanu/fBERT,ewc,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,5,8,4293,1e-05,ewc_lambda=2000,0.49516412372401547,0.6666505631472553,0.666602102602222,-0.11831210776991068,-0.10784377526290598,HATE_f1_score
